district,population,assault_cases,migration_background,total_crimes,unemployment_2023,weighted_median_income,total_area_ha,total_area_km2,population_density_per_km2
Pankow,427274,3866,128358,38051,17210,4531.0,10322,103.22,4139.449719046696
Mitte,397004,8885,231961,84145,24298,4461.0,3940,39.4,10076.243654822336
Tempelhof-Schöneberg,356959,3996,152431,40546,17165,4125.0,5305,53.05,6728.727615457116
Charlottenburg-Wilmersdorf,343500,4975,159964,52921,13857,4574.0,6469,64.69,5309.93971247488
Neukölln,329488,4575,169398,44884,23754,3729.0,4493,44.93,7333.363009125306
Lichtenberg,315548,3466,115611,30189,14994,3698.0,5212,52.12,6054.259401381428
Steglitz-Zehlendorf,310044,2833,102718,24595,9118,4459.0,10256,102.56,3023.0499219968797
Treptow-Köpenick,297236,2833,76574,25729,12322,3913.0,16773,167.73,1772.1099385917846
Marzahn-Hellersdorf,294091,3333,87584,24595,12707,3437.0,6182,61.82,4757.214493691362
Friedrichshain-Kreuzberg,292624,5895,145174,56923,17442,4549.0,2040,20.4,14344.313725490198
Reinickendorf,274098,2997,113672,26103,12792,3814.0,8932,89.32,3068.7192118226603
Spandau,259277,3206,118420,25781,13790,3579.0,9188,91.88,2821.9090117544624
