"technical_id","key","object_number","district_id","district","neighborhood","type_of_green_space","green_space_name","name_extension","year_built","last_renovation_year","size_sqm","dedication","planning_area_number","planning_area_name","address1","longitude","latitude"
"00008100_001042bb","00008100:001042bb","00037","11012012","Reinickendorf","Frohnau","Grünanlage","Im Fischgrund, ""Rosenanger""","Rosenanger","","","16991.5","gewidmet","12400721","Frohnau Ost","Im Fischgrund, ""Rosenanger"", Berlin, Germany","",""
"00008100_00104621","00008100:00104621","01179","11012012","Reinickendorf","Lübars","Grünanlage","Klötzbecken bis Zabel-Krüger-Damm","einschl. Klötzbecken","","","52224.6","gewidmet","12500929","Lübars","Klötzbecken bis Zabel-Krüger-Damm, Berlin, Germany","",""
"00008100_001044bd","00008100:001044bd","01074","11012012","Reinickendorf","Hermsdorf","Grünanlage","Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald","","","","3012","gewidmet","12400722","Hermsdorf West","Heidenheimer Str. (ab Friedrichsthaler Weg), Wanderweg am Wald, Berlin, Germany","",""
"00008100_00104620","00008100:00104620","01180","11012012","Reinickendorf","Lübars","Grünanlage","Wittenauer Str., südl. AEG-Siedlung","","","","3374.2","gewidmet","12500929","Lübars","Wittenauer Str., südl. AEG-Siedlung, Berlin, Germany","",""
"00008100_00104438","00008100:00104438","00476","11012012","Reinickendorf","Reinickendorf","Grünanlage","Kuhnpromenade u. Lindauer Allee 59/61","","","","3122","gewidmet","12100206","Humboldtstraße","Kuhnpromenade u. Lindauer Allee 59/61, Berlin, Germany","",""
"00008100_00104357","00008100:00104357","35060","11012012","Reinickendorf","Wittenau","Grünanlage","Avenue Charles de Gaulle 32-33","hinter Nimrodstr. u. am Packereigraben","","","8738.3","gewidmet","12500927","Wittenau Nord","Avenue Charles de Gaulle 32-33, Berlin, Germany","",""
"00008100_00315c33","00008100:00315c33","103014","11006006","Steglitz-Zehlendorf","Lichterfelde","Grünanlage","Platz der US-Berlin-Brigaden WG","","","","2194","gewidmet","6300632","Schweizer Viertel","Platz der US-Berlin-Brigaden WG, Berlin, Germany","",""
"00008100_000e3bb3","00008100:000e3bb3","102180","11006006","Steglitz-Zehlendorf","Steglitz","Grünanlage","Schünemannweg N","Schünemannweg 6A u.16A; Tuttlinger Weg","","","3889","gewidmet","6100205","Südende","Schünemannweg N, Berlin, Germany","13.352584","52.444492"
"00008100_00104488","00008100:00104488","00599","11012012","Reinickendorf","Heiligensee","Grünanlage","Grabens. Hlgs., Lindengraben","","","","12490.9","gewidmet","12400617","Alt-Heiligensee","Grabens. Hlgs., Lindengraben, Berlin, Germany","",""
"00008100_00104409","00008100:00104409","00714","11012012","Reinickendorf","Tegel","Grünanlage","BAB, Überbauung Tunnel Tegel","Ernststr. - Waidmannsluster Damm","","","29894.7","gewidmet","12500824","Ziekowstraße/Freie Scholle","BAB, Überbauung Tunnel Tegel, Berlin, Germany","",""
"00008100_00104115","00008100:00104115","01016","11012012","Reinickendorf","Wittenau","Grünanlage","Volkspark Wittenau","HGP Pilotfläche","","","55345.1","gewidmet","12500927","Wittenau Nord","Volkspark Wittenau, Berlin, Germany","13.329721","52.595374"
"00008100_00104610","00008100:00104610","01214","11012012","Reinickendorf","Tegel","Grünanlage","Bollestr., Oeserstr.-Borsigaue","","","","3248.1","gewidmet","12500824","Ziekowstraße/Freie Scholle","Bollestr., Oeserstr.-Borsigaue, Berlin, Germany","",""
