"technical_id","key","object_number","district_id","district","neighborhood","green_area_type","playground_name","playground_suffix","year_built","last_renovation_year","area_sqm","dedication","planning_area_number","planning_area_name","net_play_area_sqm","full_address","latitude","longitude"
"00008100_002f2c6b","00008100:002f2c6b","19441","11007007","Tempelhof-Schöneberg","Lichtenrade","Spielplatz","Nuthestr. 26","Unknown","","","","Unknown","","Unknown","","Nuthestr. 26,-, Berlin, Germany","52.393914","13.394292"
"00008100_0033cfac","00008100:0033cfac","35098","11012012","Reinickendorf","Tegel","Spielplatz","Borsigdamm 4 (Spielplatz)","Unknown","","","5031.9","Unknown","12200413","Tegel Süd","","Borsigdamm 4 (Spielplatz),Tegel Süd, Berlin, Germany","",""
"00008100_0032a99a","00008100:0032a99a","21AS10","11011011","Lichtenberg","Lichtenberg","Spielplatz","Gudrunstr. 14 Spielplatz","Unknown","","","713","gewidmet","11300725","Nibelungenviertel","","Gudrunstr. 14 Spielplatz,Nibelungenviertel, Berlin, Germany","",""
"00008100_00199411","00008100:00199411","00156","11010010","Marzahn-Hellersdorf","Marzahn","Spielplatz","Hohenwalder/Schorfheider Straße -Dreieck","seit 1990 pädagog. betreuter Spielplatz","1988","","3934","gewidmet","10100104","Golliner Straße","","Hohenwalder/Schorfheider Straße -Dreieck,Golliner Straße, Berlin, Germany","",""
"00008100_00281623","00008100:00281623","150072","11009009","Treptow-Köpenick","Schmöckwitz","Spielplatz","Biebersdorfer Weg 12/ Lübbenauer Weg 23 Sch KSP","Unknown","","","900","gewidmet","9301227","Karolinenhof","","Biebersdorfer Weg 12/ Lübbenauer Weg 23 Sch KSP,Karolinenhof, Berlin, Germany","",""
"00008100_0034b5aa","00008100:0034b5aa","19465","11007007","Tempelhof-Schöneberg","Schöneberg","Spielplatz","Ella-Barowsky-Straße 62","Spielplatz","2024","","2411","Unknown","7200412","Schöneberger Linse","","Ella-Barowsky-Straße 62,Schöneberger Linse, Berlin, Germany","52.478695","13.357487"
"00008100_002e26eb","00008100:002e26eb","19430","11007007","Tempelhof-Schöneberg","Friedenau","Spielplatz","Lauterplatz - Spielplatz","Unknown","","","814","gewidmet","7030301","Friedenau","","Lauterplatz - Spielplatz,Friedenau, Berlin, Germany","",""
"00008100_00315b66","00008100:00315b66","19452","11007007","Tempelhof-Schöneberg","Lichtenrade","Spielplatz","Volkspark Lichtenrade - Spielplatz","Unknown","","","636","Unknown","7601545","Nahariyastraße","","Volkspark Lichtenrade - Spielplatz ,Nahariyastraße, Berlin, Germany","",""
"00008100_002d1fac","00008100:002d1fac","07068","11005005","Spandau","Spandau","Spielplatz","Lutherplatz -Spielplatz-Kirche","Unknown","","","345","Unknown","5100314","Kurstraße","","Lutherplatz -Spielplatz-Kirche,Kurstraße, Berlin, Germany","",""
"00008100_0011de45","00008100:0011de45","69942","11005005","Spandau","Spandau","Spielplatz","Altstadt-Spielpunkt 1 Carl-Schurz-Brücke","Mühlengraben","","","1","Unknown","5100316","Carl-Schurz-Straße","","Altstadt-Spielpunkt 1 Carl-Schurz-Brücke,Carl-Schurz-Straße, Berlin, Germany","",""
