"district_id","district","year","inhabitants","total_area_ha","share_forest_water_agriculture","forest_area_ha","water_area_ha","agriculture_area_ha","population_density_per_ha","number_of_residences","living_space_per_resident_m2"
"11004004","Charlottenburg-Wilmersdorf","2012","298567","6472","0.295","1622","281","794","46.10","184637","48.90"
"11002002","Friedrichshain-Kreuzberg","2012","259483","2034","0.067","4","132","1","127.60","145328","39.30"
"11011011","Lichtenberg","2012","258586","5212","0.140","51","104","293","49.60","143895","37.00"
"11010010","Marzahn-Hellersdorf","2012","248786","6178","0.060","173","117","573","40.30","127149","37.10"
"11001001","Mitte","2012","329969","3947","0.036","0","142","0","83.60","185209","39.20"
"11008008","Neukölln","2012","308342","4493","0.037","5","71","176","68.60","162554","37.70"
"11003003","Pankow","2012","364794","10307","0.326","1350","159","8","35.40","205778","41.20"
"11012012","Reinickendorf","2012","243239","8933","0.330","1937","725","293","27.20","129498","41.70"
"11005005","Spandau","2012","218935","9187","0.370","1706","897","26","23.80","117907","40.20"
"11006006","Steglitz-Zehlendorf","2012","281604","10256","0.352","2468","1119","58","27.50","154331","46.90"
"11007007","Tempelhof-Schöneberg","2012","320917","5310","0.028","48","43","91","60.40","181482","42.40"
"11009009","Treptow-Köpenick","2012","242000","16841","0.554","6985","2163","84","14.40","131895","40.10"
"11004004","Charlottenburg-Wilmersdorf","2013","302313","6472","0.295","1622","281","766","46.70","182048","47.00"
"11002002","Friedrichshain-Kreuzberg","2013","263526","2034","0.067","4","132","1","129.60","146514","38.00"
"11011011","Lichtenberg","2013","262760","5212","0.141","73","104","293","50.40","147168","36.50"
"11010010","Marzahn-Hellersdorf","2013","251007","6178","0.051","112","121","557","40.60","132753","37.60"
"11001001","Mitte","2013","337593","3947","0.036","0","142","0","85.50","189557","37.70"
"11008008","Neukölln","2013","311943","4493","0.032","5","71","175","69.40","161935","36.10"
"11003003","Pankow","2013","371438","10307","0.325","1346","159","8","36.00","208388","40.50"
"11012012","Reinickendorf","2013","246412","8931","0.331","1939","723","293","27.60","129544","40.50"
"11005005","Spandau","2013","222300","9187","0.369","1721","904","26","24.20","117695","39.00"
"11006006","Steglitz-Zehlendorf","2013","284313","10256","0.352","2465","1119","57","27.70","154503","46.10"
"11007007","Tempelhof-Schöneberg","2013","324208","5310","0.028","48","43","70","61.10","180164","41.50"
"11009009","Treptow-Köpenick","2013","244016","16842","0.554","6988","2162","84","14.50","132892","39.70"
"11004004","Charlottenburg-Wilmersdorf","2014","304184","6472","0.295","1622","281","8","47.00","182569","46.70"
"11002002","Friedrichshain-Kreuzberg","2014","267371","2041","0.067","4","132","1","131.00","147470","37.90"
"11011011","Lichtenberg","2014","265812","5212","0.142","77","104","557","51.00","147952","36.30"
"11010010","Marzahn-Hellersdorf","2014","253298","6178","0.054","132","121","80","41.00","133415","37.60"
"11001001","Mitte","2014","347336","3947","0.036","0","142","0","88.00","190829","37.00"
"11008008","Neukölln","2014","314510","4493","0.031","5","71","64","70.00","162338","35.80"
"11003003","Pankow","2014","381359","10307","0.326","1354","166","1836","37.00","209988","40.20"
"11012012","Reinickendorf","2014","250068","8931","0.330","1939","722","290","28.00","129785","40.20"
"11005005","Spandau","2014","229675","9187","0.369","1721","904","762","25.00","117964","38.50"
"11006006","Steglitz-Zehlendorf","2014","287168","10256","0.352","2465","1119","26","28.00","154956","46.10"
"11007007","Tempelhof-Schöneberg","2014","328786","5303","0.028","48","43","57","62.00","180493","41.10"
"11009009","Treptow-Köpenick","2014","252630","16842","0.553","6998","2161","163","15.00","134039","39.60"
"11004004","Charlottenburg-Wilmersdorf","2015","309800","6472","0.295","1622","287","8","48.00","182968","46.30"
"11002002","Friedrichshain-Kreuzberg","2015","269400","2041","0.067","4","132","1","132.00","149321","38.10"
"11011011","Lichtenberg","2015","273300","5212","0.142","77","104","558","52.00","149404","35.80"
"11010010","Marzahn-Hellersdorf","2015","256300","6178","0.054","132","121","80","41.00","134050","37.40"
"11001001","Mitte","2015","354300","3947","0.036","0","142","0","90.00","191835","36.50"
"11008008","Neukölln","2015","318700","4493","0.031","5","72","57","71.00","162499","35.50"
"11003003","Pankow","2015","384437","10306","0.326","1354","194","1832","37.00","211981","40.10"
"11012012","Reinickendorf","2015","252100","8931","0.330","1938","719","290","28.00","130054","39.90"
