"station","line","latitude","longitude","postcode","neighborhood","district","district_id"
"Adenauerplatz","U7","52.499722","13.307222","10707","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Afrikanische Straße","U6","52.560028","13.334633","13349","Wedding","Mitte","11001001"
"Alexanderplatz","U5","52.521389","13.411944","10178","Mitte","Mitte","11001001"
"Alexanderplatz","U2","52.521389","13.411944","10178","Mitte","Mitte","11001001"
"Alexanderplatz","U8","52.521389","13.411944","10178","Mitte","Mitte","11001001"
"Alt-Mariendorf","U6","52.439100","13.387700","12107","Mariendorf","Tempelhof-Schöneberg","11007007"
"Alt-Tegel","U6","52.589440","13.283890","13507","Tegel","Reinickendorf","11012012"
"Alt-Tempelhof","U6","52.465953","13.385897","12099","Tempelhof","Tempelhof-Schöneberg","11007007"
"Altstadt Spandau","U7","52.538889","13.206389","13597","Spandau","Spandau","11005005"
"Amrumer Straße","U9","52.542500","13.350278","13353","Wedding","Mitte","11001001"
"Amrumer Straße","U6","52.542500","13.350278","13353","Wedding","Mitte","11001001"
"Augsburger Straße","U3","52.500556","13.336389","10789","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Augsburger Straße","U9","52.500556","13.336389","10789","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Augsburger Straße","U1","52.500556","13.336389","10789","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Augsburger Straße","U2","52.500556","13.336389","10789","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Bayerischer Platz","U4","52.488333","13.340278","10779","Schöneberg","Tempelhof-Schöneberg","11007007"
"Bayerischer Platz","U7","52.488333","13.340278","10779","Schöneberg","Tempelhof-Schöneberg","11007007"
"Bayerischer Platz","U9","52.488333","13.340278","10779","Schöneberg","Tempelhof-Schöneberg","11007007"
"Berliner Straße","U7","52.487222","13.330833","10715","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Berliner Straße","U9","52.487222","13.330833","10715","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Bernauer Straße","U8","52.537500","13.396667","10115","Mitte","Mitte","11001001"
"Beusselstraße","U9","52.534444","13.329444","","Moabit","Mitte","11001001"
"Biesdorf-Süd","U5","52.499700","13.546500","12683","Biesdorf","Marzahn-Hellersdorf","11010010"
"Birkenstraße","U9","52.532222","13.341389","10551","Moabit","Mitte","11001001"
"Bismarckstraße","U2","52.511389","13.305000","10627","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Bismarckstraße","U7","52.511389","13.305000","10627","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Blaschkoallee","U7","52.451944","13.449444","12359","Britz","Neukölln","11008008"
"Blissestraße","U7","52.486667","13.321944","10715","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Boddinstraße","U8","52.480000","13.425278","12049","Neukölln","Neukölln","11008008"
"Boddinstraße","U7","52.480000","13.425278","12049","Neukölln","Neukölln","11008008"
"Borsigwerke","U6","52.581900","13.290700","13507","Tegel","Reinickendorf","11012012"
"Brandenburger Tor","U55","52.516389","13.380833","10117","Mitte","Mitte","11001001"
"Breitenbachplatz","U3","52.466389","13.308056","14195","Dahlem","Steglitz-Zehlendorf","11006006"
"Britz-Süd","U7","52.437778","13.448056","12359","Britz","Neukölln","11008008"
"Bundesplatz","U7","52.478081","13.328519","10715","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Bundesplatz","U9","52.478081","13.328519","10715","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Bundesplatz","U4","52.478081","13.328519","10715","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Bundesplatz","U3","52.478081","13.328519","10715","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Bundestag","U55","52.520014","13.373006","10557","Tiergarten","Mitte","11001001"
"Bülowstraße","U2","52.497553","13.363419","10783","Schöneberg","Tempelhof-Schöneberg","11007007"
"Bülowstraße","U1","52.497553","13.363419","10783","Schöneberg","Tempelhof-Schöneberg","11007007"
"Bülowstraße","U3","52.497553","13.363419","10783","Schöneberg","Tempelhof-Schöneberg","11007007"
"Bülowstraße","U4","52.497553","13.363419","10783","Schöneberg","Tempelhof-Schöneberg","11007007"
"Charlottenburg","U7","52.505050","13.304520","","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Cottbusser Platz","U5","52.533900","13.596400","12619","Hellersdorf","Marzahn-Hellersdorf","11010010"
"Dahlem-Dorf","U3","52.456944","13.289444","14195","Dahlem","Steglitz-Zehlendorf","11006006"
"Deutsche Oper","U2","52.511944","13.310556","10625","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Eberswalder Straße","U2","52.541667","13.412222","10437","Prenzlauer Berg","Pankow","11003003"
"Eisenacher Straße","U7","52.489444","13.350278","10823","Schöneberg","Tempelhof-Schöneberg","11007007"
"Elsterwerdaer Platz","U5","52.505000","13.560560","12683","Biesdorf","Marzahn-Hellersdorf","11010010"
"Fehrbelliner Platz (U3)","U3","52.489700","13.315300","","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Fehrbelliner Platz (U7)","U7","52.489700","13.315300","","Wilmersdorf","Charlottenburg-Wilmersdorf","11004004"
"Frankfurter Allee","U5","52.514167","13.474722","10247","Friedrichshain","Friedrichshain-Kreuzberg","11002002"
"Frankfurter Tor","U5","52.515833","13.454167","10243","Friedrichshain","Friedrichshain-Kreuzberg","11002002"
"Franz-Neumann-Platz (Am Schäfersee)","U8","52.564722","13.363889","13409","Reinickendorf","Reinickendorf","11012012"
