"venue_id","district_id","name","district","category","cuisine","phone","address","latitude","longitude","website","opening_hours_dict","opening_hours","postal_code","neighborhood","takeaway","wheelchair_accessible"
"V0001","11004004","Aida","Charlottenburg-Wilmersdorf","restaurant","italian;pizza","+493031806750","Knesebeckstraße , 10623 Berlin","52.506864","13.322859","https://www.aida-restaurant.de/","{""Fr"":[[""11:30"",""21:00""]],""Mo"":[[""11:30"",""21:00""]],""Sa"":[[""11:30"",""21:00""]],""Su"":[[""15:00"",""21:00""]],""Th"":[[""11:30"",""21:00""]],""Tu"":[[""11:30"",""21:00""]],""We"":[[""11:30"",""21:00""]]}","Mo-Sa 11:30-21:00; Su 15:00-21:00","10623.0","Charlottenburg","","no"
"V0002","11004004","Madame Ngo","Charlottenburg-Wilmersdorf","restaurant","asian","+4915753604089","Kantstraße 30, 10623 Berlin","52.506212","13.318081","","{""Fr"":[[""12:00"",""16:30""],[""18:00"",""22:00""]],""Mo"":[[""12:00"",""16:30""],[""18:00"",""22:00""]],""Sa"":[[""12:00"",""16:30""],[""18:00"",""22:00""]],""Su"":[[""12:00"",""16:30""],[""18:00"",""21:30""]],""Th"":[[""12:00"",""16:30""],[""18:00"",""22:00""]],""Tu"":[[""12:00"",""16:30""],[""18:00"",""22:00""]],""We"":[[""12:00"",""16:30""],[""18:00"",""22:00""]]}","Mo-Sa 12:00-16:30, 18:00-22:00; Su 12:00-16:30, 18:00-21:30","10623.0","Charlottenburg","","limited"
"V0003","11004004","Nam Thuân","Charlottenburg-Wilmersdorf","restaurant","vietnamese","","Pestalozzistraße 106, 10625 Berlin","52.507320","13.320780","","","","10625.0","Charlottenburg","","no"
"V0004","11004004","La Rose","Charlottenburg-Wilmersdorf","restaurant","italian","","Neue Kantstraße 19, 14057 Berlin","52.506318","13.284626","","","","14057.0","Charlottenburg","",""
"V0005","11001001","Eiscafe Eisberg","Mitte","cafe","","","Brunnenstraße 55, 13355 Berlin","52.538855","13.396097","http://www.eis-berg.de/","","","13355.0","Gesundbrunnen","","yes"
"V0006","11002002","Tibet Haus","Friedrichshain-Kreuzberg","restaurant","tibetan","","Zossener Straße 19, 10961 Berlin","52.490710","13.393981","","{""Fr"":[[""12:00"",""00:00""]],""Mo"":[[""12:00"",""00:00""]],""Sa"":[[""12:00"",""00:00""]],""Su"":[[""12:00"",""00:00""]],""Th"":[[""12:00"",""00:00""]],""Tu"":[[""12:00"",""00:00""]],""We"":[[""12:00"",""00:00""]]}","12:00-24:00","10961.0","Kreuzberg","","no"
"V0007","11001001","Coffee Star","Mitte","cafe","","+493045482893","Müllerstraße 146, 13353 Berlin","52.547680","13.356343","https://coffeestar.net/","{""Fr"":[[""08:00"",""19:00""]],""Mo"":[[""08:00"",""19:00""]],""Sa"":[[""10:00"",""16:00""]],""Th"":[[""08:00"",""19:00""]],""Tu"":[[""08:00"",""19:00""]],""We"":[[""08:00"",""19:00""]]}","Mo-Fr 08:00-19:00; Sa 10:00-16:00","13353.0","Wedding","","no"
"V0008","11004004","Paella","Charlottenburg-Wilmersdorf","restaurant","mexican","","Wundtstraße 72, 14057 Berlin","52.506889","13.283920","","{""Fr"":[[""11:00-23:00"",""late""]],""Mo"":[[""11:00-23:00"",""late""]],""Sa"":[[""11:00-23:00"",""late""]],""Su"":[[""11:00-23:00"",""late""]],""Th"":[[""11:00-23:00"",""late""]],""Tu"":[[""11:00-23:00"",""late""]],""We"":[[""11:00-23:00"",""late""]]}","Mo-Su 11:00-23:00+","14057.0","Charlottenburg","","limited"
"V0009","11004004","Cancún","Charlottenburg-Wilmersdorf","restaurant","mexican","+493030111105","Kaiserdamm 24, 14057 Berlin","52.510322","13.282954","https://www.cancun-restaurant.de/","{""Fr"":[[""11:00"",""03:00""]],""Mo"":[[""11:00"",""03:00""]],""Sa"":[[""11:00"",""03:00""]],""Su"":[[""11:00"",""03:00""]],""Th"":[[""11:00"",""03:00""]],""Tu"":[[""11:00"",""03:00""]],""We"":[[""11:00"",""03:00""]]}","Mo-Su 11:00-03:00","14057.0","Westend","","limited"
"V0010","11001001","Schatulle","Mitte","restaurant","regional","+49304513071","13351 Berlin","52.554271","13.331128","","{""Fr"":[[""12:00"",""22:00""],[""Sa"",""""],[""Su 10:00"",""22:00""],[""PH 10:00"",""22:00""]],""Th"":[[""12:00"",""22:00""],[""Sa"",""""],[""Su 10:00"",""22:00""],[""PH 10:00"",""22:00""]],""Tu"":[[""12:00"",""22:00""],[""Sa"",""""],[""Su 10:00"",""22:00""],[""PH 10:00"",""22:00""]],""We"":[[""12:00"",""22:00""],[""Sa"",""""],[""Su 10:00"",""22:00""],[""PH 10:00"",""22:00""]]}","Tu-Fr 12:00-22:00, Sa,Su 10:00-22:00, PH 10:00-22:00","13351.0","Wedding","","limited"
"V0011","11004004","Haus der 100 Biere","Charlottenburg-Wilmersdorf","restaurant","german","+493025092901","Kurfürstendamm 100, 10709 Berlin","52.498383","13.296998","https://100biere.de/","{""Fr"":[[""11:00"",""00:00""]],""Mo"":[[""11:00"",""00:00""]],""Sa"":[[""11:00"",""00:00""]],""Su"":[[""11:00"",""00:00""]],""Th"":[[""11:00"",""00:00""]],""Tu"":[[""11:00"",""00:00""]],""We"":[[""11:00"",""00:00""]]}","Mo-Su 11:00-00:00","10709.0","Halensee","","yes"
"V0012","11004004","Ach!NikO!Ach!","Charlottenburg-Wilmersdorf","restaurant","greek","","Kurfürstendamm 97-98, 10709 Berlin","52.498587","13.298249","","{""Fr"":[[""12:00"",""00:00""]],""Mo"":[[""12:00"",""00:00""]],""Sa"":[[""12:00"",""00:00""]],""Su"":[[""12:00"",""00:00""]],""Th"":[[""12:00"",""00:00""]],""Tu"":[[""12:00"",""00:00""]],""We"":[[""12:00"",""00:00""]]}","Mo-Su 12:00-24:00","10709.0","Halensee","","no"
