district,neighborhood,hashtags,source
Mitte,Mitte,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Mitte,Moabit,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Mitte,Hansaviertel,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Mitte,Tiergarten,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Mitte,Wedding,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Mitte,Gesundbrunnen,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Pankow,Prenzlauer Berg,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Pankow,Weißensee,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Pankow,Blankenburg,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Pankow,Heinersdorf,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Pankow,Karow,#playgrounds;#average,playgrounds.ipynb:rule-based
Pankow,Stadtrandsiedlung Malchow,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Pankow,Pankow,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Pankow,Blankenfelde,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Pankow,Buch,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Pankow,Französisch Buchholz,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Pankow,Niederschönhausen,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Pankow,Rosenthal,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Pankow,Wilhelmsruh,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Grunewald,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Westend,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Halensee,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Spandau,Spandau,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Spandau,Haselhorst,#playgrounds;#average,playgrounds.ipynb:rule-based
Spandau,Siemensstadt,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Spandau,Staaken,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Spandau,Gatow,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Baumschulenweg,#playgrounds;#average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Johannisthal,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Niederschöneweide,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Altglienicke,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Adlershof,#playgrounds;#average,playgrounds.ipynb:rule-based
Spandau,Kladow,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Spandau,Hakenfelde,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Spandau,Falkenhagener Feld,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Spandau,Wilhelmstadt,#playgrounds;#average,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Steglitz,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Lichterfelde,#playgrounds;#average,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Lankwitz,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Zehlendorf,#playgrounds;#average,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Dahlem,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Nikolassee,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Wannsee,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Schöneberg,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Rahnsdorf,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Grünau,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Müggelheim,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Schmöckwitz,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Marzahn,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Biesdorf,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Kaulsdorf,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Mahlsdorf,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Hellersdorf,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Friedenau,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Tempelhof,#playgrounds;#average,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Mariendorf,#playgrounds;#average,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Marienfelde,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Lichtenrade,#playgrounds;#average,playgrounds.ipynb:rule-based
Neukölln,Neukölln,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Neukölln,Britz,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Neukölln,Buckow,#playgrounds;#average,playgrounds.ipynb:rule-based
Neukölln,Rudow,#playgrounds;#average,playgrounds.ipynb:rule-based
Neukölln,Gropiusstadt,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Lichtenberg,Friedrichsfelde,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Lichtenberg,Karlshorst,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Lichtenberg,Lichtenberg,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Alt-Treptow,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Plänterwald,#playgrounds;#average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Bohnsdorf,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Oberschöneweide,#playgrounds;#average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Köpenick,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Treptow-Köpenick,Friedrichshagen,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Lichtenberg,Falkenberg,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Lichtenberg,Malchow,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Lichtenberg,Wartenberg,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Lichtenberg,Neu-Hohenschönhausen,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Lichtenberg,Alt-Hohenschönhausen,#playgrounds;#average,playgrounds.ipynb:rule-based
Lichtenberg,Fennpfuhl,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Lichtenberg,Rummelsburg,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Reinickendorf,Reinickendorf,#playgrounds;#above-average,playgrounds.ipynb:rule-based
Reinickendorf,Tegel,#playgrounds;#below-average,playgrounds.ipynb:rule-based
Reinickendorf,Konradshöhe,#playgrounds;#below-average,playgrounds.ipynb:rule-based
