district,neighborhood,hashtags,source
Charlottenburg-Wilmersdorf,Charlottenburg,#well_connected_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#vibrant_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#high_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#average_green_share,green_share: rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#well_connected_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#sparse_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#low_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#high_green_share,green_share: rule-based
Charlottenburg-Wilmersdorf,Grunewald,#remote_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,Grunewald,#sparse_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,Grunewald,#low_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,Grunewald,#low_green_share,green_share: rule-based
Charlottenburg-Wilmersdorf,Halensee,#moderate_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,Halensee,#vibrant_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,Halensee,#high_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,Halensee,#low_green_share,green_share: rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#moderate_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#vibrant_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#high_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#average_green_share,green_share: rule-based
Charlottenburg-Wilmersdorf,Westend,#moderate_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,Westend,#vibrant_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,Westend,#low_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,Westend,#average_green_share,green_share: rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#well_connected_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#vibrant_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#high_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#average_green_share,green_share: rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#well_connected_mobility,mobility: rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#vibrant_venues,vibrancy: rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#high_playground_density,playgrounds_density: rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#average_green_share,green_share: rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#well_connected_mobility,mobility: rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#vibrant_venues,vibrancy: rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#high_playground_density,playgrounds_density: rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#high_green_share,green_share: rule-based
Lichtenberg,Alt-Hohenschönhausen,#moderate_mobility,mobility: rule-based
Lichtenberg,Alt-Hohenschönhausen,#average_venues,vibrancy: rule-based
Lichtenberg,Alt-Hohenschönhausen,#average_playground_density,playgrounds_density: rule-based
