district,neighborhood,n_playgrounds,playgrounds_per_km2,playgrounds_density_label,green_area_km2,area_km2,green_share,green_share_label,ubahn_stations,bus_tram_stops,area_eff_km2,connectivity_density,mobility_score,mobility_label,n_venues,n_types,venues_per_km2,V_score,C_score,VV_index,vibrancy_label
Charlottenburg-Wilmersdorf,Charlottenburg,45.0,4.248670008809003,above average,0.8279207000000001,10.591549804220852,0.0781680410613812,average,18,68,10.591549804220852,3.1156913397932686,100.0,well-connected,782,27,73.83244326419201,100.0,100.0,100.0,vibrant
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,5.0,0.8069097655462504,below average,1.3305689,6.1964797223828,0.2147298078284265,above average,3,25,6.1964797223828,1.5492667498488009,56.52965215142287,well-connected,9,4,1.4524375779832508,2.303332747718036,16.666666666666664,7.330499619350055,sparse
Charlottenburg-Wilmersdorf,Grunewald,5.0,0.2237744838558563,below average,0.115074,22.34392373002069,0.0051501249910457,below average,0,22,22.34392373002069,0.2953823186897303,0.0,remote,18,2,0.8055881418810827,0.2674646759422637,0.0,0.1738520393624714,sparse
Charlottenburg-Wilmersdorf,Halensee,3.0,2.369191331774683,above average,0.013593,1.2662548439060846,0.010734805924271,below average,0,6,1.2662548439060846,1.4215147990648098,50.17586871457278,moderate,44,9,34.748139532695355,100.0,58.333333333333336,85.41666666666667,vibrant
Charlottenburg-Wilmersdorf,Schmargendorf,11.0,3.0671719385379514,above average,0.0897159999999999,3.586365622933888,0.0250158543307155,average,0,17,3.586365622933888,1.422052444231232,50.20260866595788,moderate,33,5,9.201515815613854,26.69247199587041,25.0,26.100106797315767,vibrant
Charlottenburg-Wilmersdorf,Westend,16.0,1.183346280755898,below average,0.6531127,13.520978820991871,0.0483036552787151,average,3,43,13.520978820991871,1.1093871382086544,34.65210137043355,moderate,73,10,5.3990174059487845,14.7246404215494,66.66666666666666,32.90434960734044,vibrant
Charlottenburg-Wilmersdorf,Wilmersdorf,41.0,5.728243513556568,above average,0.2828855,7.157516942666392,0.0395228544013221,average,16,40,7.157516942666392,3.2413475491344483,100.0,well-connected,261,21,36.46515992776254,100.0,100.0,100.0,vibrant
Friedrichshain-Kreuzberg,Friedrichshain,84.0,8.446888907110973,above average,0.812918,9.944489731513457,0.0817455718641766,average,5,57,9.944489731513457,2.071498946267691,82.50303462764563,well-connected,531,26,53.39640487709437,100.0,100.0,100.0,vibrant
Friedrichshain-Kreuzberg,Kreuzberg,82.0,7.905870863481376,above average,0.9694345,10.37203888299929,0.0934661459463858,above average,20,73,10.37203888299929,3.4612288292558704,100.0,well-connected,748,33,72.11696836443987,100.0,100.0,100.0,vibrant
Lichtenberg,Alt-Hohenschönhausen,16.0,1.7116738331287322,average,0.243478,9.347575274171213,0.0260471825964073,average,0,38,9.347575274171213,1.2195676061042218,40.13196158143688,moderate,32,5,3.4233476662574645,8.506496416279193,25.0,14.279222670581476,average
Lichtenberg,Falkenberg,2.0,0.6554544185571944,below average,0.610613,3.0513182051659045,0.200114494439232,above average,0,5,3.0513182051659045,0.4915908139178958,3.925806949594184,remote,1,0,0.3277272092785972,0.0,0.0,0.0,sparse
Lichtenberg,Fennpfuhl,22.0,10.370364290022454,above average,0.1921689999999999,2.121429815263738,0.0905846606931511,above average,0,9,2.121429815263738,1.2727265265027556,42.77583720037078,moderate,23,5,10.841744485023476,31.854862178328386,25.0,29.45566041591345,vibrant
Lichtenberg,Friedrichsfelde,35.0,5.999285710602792,above average,1.964698,5.83402786404105,0.3367652753442824,above average,1,26,5.83402786404105,1.456969386860678,51.93921378535477,well-connected,30,2,5.142244894802393,13.91648487873455,0.0,9.045715171177456,sparse
Lichtenberg,Karlshorst,14.0,2.1389349848861894,above average,0.436835,6.545313484946774,0.0667401188659113,average,0,22,6.545313484946774,1.008355064303489,29.62723941075461,moderate,24,6,3.666745688376325,9.272557626676374,33.33333333333333,17.693829124006307,average
Lichtenberg,Lichtenberg,18.0,2.500434521502405,above average,0.779413,7.198748795543168,0.1082706206504308,above average,0,32,7.198748795543168,1.3335650781346162,45.801661693133866,moderate,50,5,6.945651448617793,19.592454615166456,25.0,21.4850954998582,average
Lichtenberg,Malchow,4.0,2.6366043004734787,above average,0.450505,1.51710288846972,0.2969508550962011,above average,0,3,1.51710288846972,0.5932359676065326,8.981160625053466,remote,2,0,1.3183021502367394,1.8811602615075416,0.0,1.2227541699799025,sparse
Lichtenberg,Neu-Hohenschönhausen,30.0,5.8243161980460005,above average,0.910329,5.15081925154831,0.1767347980083672,above average,0,23,5.15081925154831,1.33959272555058,46.10144863243063,moderate,11,4,2.1355826059502,4.453436115220404,16.666666666666664,8.728066808226595,sparse
Lichtenberg,Rummelsburg,15.0,3.4050587255891736,above average,0.097745,4.405210367525913,0.0221884976755142,below average,1,21,4.405210367525913,1.5890274052749476,58.507160849604034,well-connected,43,6,9.761168346688963,28.453900012519945,33.33333333333333,30.16170167480463,vibrant
Lichtenberg,Wartenberg,5.0,0.7225853203268647,below average,1.067652,6.919598086684389,0.1542939324835235,above average,0,8,6.919598086684389,0.3468409537568951,0.0,remote,2,2,0.2890341281307459,0.0,0.0,0.0,sparse
Marzahn-Hellersdorf,Biesdorf,15.0,1.206254234747823,below average,1.0966665,12.43518950475301,0.0881905739820715,above average,2,34,12.43518950475301,0.9328366082049828,25.87130525405045,remote,20,5,1.6083389796637635,2.794010590677946,25.0,10.566106883940666,average
Marzahn-Hellersdorf,Hellersdorf,33.0,4.052934955373496,above average,1.443061,8.142247621380568,0.1772312839283706,above average,5,31,8.142247621380568,1.5720474978418406,57.66265981501597,well-connected,32,5,3.9301187446046018,10.101487461372038,25.0,15.315966849891826,average
Marzahn-Hellersdorf,Kaulsdorf,7.0,0.8061513598618572,below average,0.4766475,8.683232887183278,0.0548928614713935,average,0,35,8.683232887183278,1.2092270397927858,39.61767026491254,moderate,13,3,1.497138239743449,2.444021824627831,8.333333333333332,4.5052808526747565,sparse
Marzahn-Hellersdorf,Mahlsdorf,12.0,0.924397246840596,below average,0.1557907,12.9814319990822,0.0120010411802807,below average,0,49,12.9814319990822,1.13238662737973,35.795988195287464,moderate,18,5,1.386595870260894,2.096105187389814,25.0,10.11246837180338,average
Marzahn-Hellersdorf,Marzahn,86.0,4.401143879194612,above average,3.785997,19.54037458455859,0.1937525293395251,above average,0,65,19.54037458455859,0.997933786561569,29.10893388585984,moderate,57,8,2.917037222256894,6.9129551533251234,50.0,21.99342084966133,average
Mitte,Gesundbrunnen,18.0,2.939380653548661,above average,0.0957279,6.123739019057953,0.01563226318138,below average,5,34,6.123739019057953,2.237195275200925,90.74399364128112,well-connected,149,15,24.331539854375023,74.31210516943722,100.0,83.3028683601342,vibrant
Mitte,Hansaviertel,0.0,0.0,below average,0.076529,0.5280376314437806,0.1449309584067929,above average,1,5,0.5280376314437806,4.166369722522761,100.0,well-connected,11,5,20.831848612613804,63.29731677739846,25.0,49.893255905309,vibrant
