district,neighborhood,hashtags,source
Mitte,Mitte,#mobility;#well-connected,mobility.ipynb:rule-based
Mitte,Moabit,#mobility;#well-connected,mobility.ipynb:rule-based
Mitte,Hansaviertel,#mobility;#well-connected,mobility.ipynb:rule-based
Mitte,Tiergarten,#mobility;#well-connected,mobility.ipynb:rule-based
Mitte,Wedding,#mobility;#well-connected,mobility.ipynb:rule-based
Mitte,Gesundbrunnen,#mobility;#well-connected,mobility.ipynb:rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#mobility;#well-connected,mobility.ipynb:rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#mobility;#well-connected,mobility.ipynb:rule-based
Pankow,Prenzlauer Berg,#mobility;#well-connected,mobility.ipynb:rule-based
Pankow,Weißensee,#mobility;#well-connected,mobility.ipynb:rule-based
Pankow,Blankenburg,#mobility;#moderate,mobility.ipynb:rule-based
Pankow,Heinersdorf,#mobility;#remote,mobility.ipynb:rule-based
Pankow,Karow,#mobility;#remote,mobility.ipynb:rule-based
Pankow,Stadtrandsiedlung Malchow,#mobility;#remote,mobility.ipynb:rule-based
Pankow,Pankow,#mobility;#well-connected,mobility.ipynb:rule-based
Pankow,Blankenfelde,#mobility;#remote,mobility.ipynb:rule-based
Pankow,Buch,#mobility;#remote,mobility.ipynb:rule-based
Pankow,Französisch Buchholz,#mobility;#remote,mobility.ipynb:rule-based
Pankow,Niederschönhausen,#mobility;#well-connected,mobility.ipynb:rule-based
Pankow,Rosenthal,#mobility;#remote,mobility.ipynb:rule-based
Pankow,Wilhelmsruh,#mobility;#well-connected,mobility.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#mobility;#well-connected,mobility.ipynb:rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#mobility;#well-connected,mobility.ipynb:rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#mobility;#moderate,mobility.ipynb:rule-based
Charlottenburg-Wilmersdorf,Grunewald,#mobility;#remote,mobility.ipynb:rule-based
Charlottenburg-Wilmersdorf,Westend,#mobility;#moderate,mobility.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#mobility;#well-connected,mobility.ipynb:rule-based
Charlottenburg-Wilmersdorf,Halensee,#mobility;#moderate,mobility.ipynb:rule-based
Spandau,Spandau,#mobility;#well-connected,mobility.ipynb:rule-based
Spandau,Haselhorst,#mobility;#moderate,mobility.ipynb:rule-based
Spandau,Siemensstadt,#mobility;#remote,mobility.ipynb:rule-based
Spandau,Staaken,#mobility;#moderate,mobility.ipynb:rule-based
Spandau,Gatow,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Baumschulenweg,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Johannisthal,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Niederschöneweide,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Altglienicke,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Adlershof,#mobility;#moderate,mobility.ipynb:rule-based
Spandau,Kladow,#mobility;#remote,mobility.ipynb:rule-based
Spandau,Hakenfelde,#mobility;#remote,mobility.ipynb:rule-based
Spandau,Falkenhagener Feld,#mobility;#moderate,mobility.ipynb:rule-based
Spandau,Wilhelmstadt,#mobility;#remote,mobility.ipynb:rule-based
Steglitz-Zehlendorf,Steglitz,#mobility;#well-connected,mobility.ipynb:rule-based
Steglitz-Zehlendorf,Lichterfelde,#mobility;#moderate,mobility.ipynb:rule-based
Steglitz-Zehlendorf,Lankwitz,#mobility;#moderate,mobility.ipynb:rule-based
Steglitz-Zehlendorf,Zehlendorf,#mobility;#moderate,mobility.ipynb:rule-based
Steglitz-Zehlendorf,Dahlem,#mobility;#moderate,mobility.ipynb:rule-based
Steglitz-Zehlendorf,Nikolassee,#mobility;#remote,mobility.ipynb:rule-based
Steglitz-Zehlendorf,Wannsee,#mobility;#remote,mobility.ipynb:rule-based
Tempelhof-Schöneberg,Schöneberg,#mobility;#well-connected,mobility.ipynb:rule-based
Treptow-Köpenick,Rahnsdorf,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Grünau,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Müggelheim,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Schmöckwitz,#mobility;#remote,mobility.ipynb:rule-based
Marzahn-Hellersdorf,Marzahn,#mobility;#moderate,mobility.ipynb:rule-based
Marzahn-Hellersdorf,Biesdorf,#mobility;#remote,mobility.ipynb:rule-based
Marzahn-Hellersdorf,Kaulsdorf,#mobility;#moderate,mobility.ipynb:rule-based
Marzahn-Hellersdorf,Mahlsdorf,#mobility;#moderate,mobility.ipynb:rule-based
Marzahn-Hellersdorf,Hellersdorf,#mobility;#well-connected,mobility.ipynb:rule-based
Tempelhof-Schöneberg,Friedenau,#mobility;#well-connected,mobility.ipynb:rule-based
Tempelhof-Schöneberg,Tempelhof,#mobility;#well-connected,mobility.ipynb:rule-based
Tempelhof-Schöneberg,Mariendorf,#mobility;#moderate,mobility.ipynb:rule-based
Tempelhof-Schöneberg,Marienfelde,#mobility;#moderate,mobility.ipynb:rule-based
Tempelhof-Schöneberg,Lichtenrade,#mobility;#well-connected,mobility.ipynb:rule-based
Neukölln,Neukölln,#mobility;#well-connected,mobility.ipynb:rule-based
Neukölln,Britz,#mobility;#moderate,mobility.ipynb:rule-based
Neukölln,Buckow,#mobility;#well-connected,mobility.ipynb:rule-based
Neukölln,Rudow,#mobility;#well-connected,mobility.ipynb:rule-based
Neukölln,Gropiusstadt,#mobility;#well-connected,mobility.ipynb:rule-based
Lichtenberg,Friedrichsfelde,#mobility;#well-connected,mobility.ipynb:rule-based
Lichtenberg,Karlshorst,#mobility;#moderate,mobility.ipynb:rule-based
Lichtenberg,Lichtenberg,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Alt-Treptow,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Plänterwald,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Bohnsdorf,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Oberschöneweide,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Köpenick,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Friedrichshagen,#mobility;#remote,mobility.ipynb:rule-based
Lichtenberg,Falkenberg,#mobility;#remote,mobility.ipynb:rule-based
Lichtenberg,Malchow,#mobility;#remote,mobility.ipynb:rule-based
Lichtenberg,Wartenberg,#mobility;#remote,mobility.ipynb:rule-based
