district,neighborhood,hashtags,source
Mitte,Mitte,#high_green_share,parks.ipynb:rule-based
Mitte,Moabit,#high_green_share,parks.ipynb:rule-based
Mitte,Hansaviertel,#high_green_share,parks.ipynb:rule-based
Mitte,Tiergarten,#high_green_share,parks.ipynb:rule-based
Mitte,Wedding,#high_green_share,parks.ipynb:rule-based
Mitte,Gesundbrunnen,#low_green_share,parks.ipynb:rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#average_green_share,parks.ipynb:rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#high_green_share,parks.ipynb:rule-based
Pankow,Prenzlauer Berg,#high_green_share,parks.ipynb:rule-based
Pankow,Weißensee,#average_green_share,parks.ipynb:rule-based
Pankow,Blankenburg,#average_green_share,parks.ipynb:rule-based
Pankow,Heinersdorf,#average_green_share,parks.ipynb:rule-based
Pankow,Karow,#average_green_share,parks.ipynb:rule-based
Pankow,Stadtrandsiedlung Malchow,#high_green_share,parks.ipynb:rule-based
Pankow,Pankow,#average_green_share,parks.ipynb:rule-based
Pankow,Blankenfelde,#average_green_share,parks.ipynb:rule-based
Pankow,Buch,#average_green_share,parks.ipynb:rule-based
Pankow,Französisch Buchholz,#average_green_share,parks.ipynb:rule-based
Pankow,Niederschönhausen,#high_green_share,parks.ipynb:rule-based
Pankow,Rosenthal,#low_green_share,parks.ipynb:rule-based
Pankow,Wilhelmsruh,#low_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#average_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#average_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#average_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,Grunewald,#low_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,Westend,#average_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#high_green_share,parks.ipynb:rule-based
Charlottenburg-Wilmersdorf,Halensee,#low_green_share,parks.ipynb:rule-based
Spandau,Spandau,#average_green_share,parks.ipynb:rule-based
Spandau,Haselhorst,#average_green_share,parks.ipynb:rule-based
Spandau,Siemensstadt,#average_green_share,parks.ipynb:rule-based
Spandau,Staaken,#high_green_share,parks.ipynb:rule-based
Spandau,Gatow,#average_green_share,parks.ipynb:rule-based
Treptow-Köpenick,Baumschulenweg,#average_green_share,parks.ipynb:rule-based
Treptow-Köpenick,Johannisthal,#high_green_share,parks.ipynb:rule-based
Treptow-Köpenick,Niederschöneweide,#low_green_share,parks.ipynb:rule-based
Treptow-Köpenick,Altglienicke,#high_green_share,parks.ipynb:rule-based
Treptow-Köpenick,Adlershof,#low_green_share,parks.ipynb:rule-based
Spandau,Kladow,#average_green_share,parks.ipynb:rule-based
Spandau,Hakenfelde,#low_green_share,parks.ipynb:rule-based
Spandau,Falkenhagener Feld,#high_green_share,parks.ipynb:rule-based
Spandau,Wilhelmstadt,#average_green_share,parks.ipynb:rule-based
Steglitz-Zehlendorf,Steglitz,#average_green_share,parks.ipynb:rule-based
Steglitz-Zehlendorf,Lichterfelde,#average_green_share,parks.ipynb:rule-based
Steglitz-Zehlendorf,Lankwitz,#average_green_share,parks.ipynb:rule-based
Steglitz-Zehlendorf,Zehlendorf,#average_green_share,parks.ipynb:rule-based
