district,neighborhood,hashtags,source
Mitte,Mitte,#high_playground_density,playgrounds.ipynb:rule-based
Mitte,Moabit,#high_playground_density,playgrounds.ipynb:rule-based
Mitte,Hansaviertel,#low_playground_density,playgrounds.ipynb:rule-based
Mitte,Tiergarten,#high_playground_density,playgrounds.ipynb:rule-based
Mitte,Wedding,#high_playground_density,playgrounds.ipynb:rule-based
Mitte,Gesundbrunnen,#high_playground_density,playgrounds.ipynb:rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#high_playground_density,playgrounds.ipynb:rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#high_playground_density,playgrounds.ipynb:rule-based
Pankow,Prenzlauer Berg,#high_playground_density,playgrounds.ipynb:rule-based
Pankow,Weißensee,#high_playground_density,playgrounds.ipynb:rule-based
Pankow,Blankenburg,#low_playground_density,playgrounds.ipynb:rule-based
Pankow,Heinersdorf,#low_playground_density,playgrounds.ipynb:rule-based
Pankow,Karow,#average_playground_density,playgrounds.ipynb:rule-based
Pankow,Stadtrandsiedlung Malchow,#low_playground_density,playgrounds.ipynb:rule-based
Pankow,Pankow,#high_playground_density,playgrounds.ipynb:rule-based
Pankow,Blankenfelde,#low_playground_density,playgrounds.ipynb:rule-based
Pankow,Buch,#low_playground_density,playgrounds.ipynb:rule-based
Pankow,Französisch Buchholz,#low_playground_density,playgrounds.ipynb:rule-based
Pankow,Niederschönhausen,#high_playground_density,playgrounds.ipynb:rule-based
Pankow,Rosenthal,#low_playground_density,playgrounds.ipynb:rule-based
Pankow,Wilhelmsruh,#high_playground_density,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#high_playground_density,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#high_playground_density,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#high_playground_density,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Grunewald,#low_playground_density,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Westend,#low_playground_density,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#low_playground_density,playgrounds.ipynb:rule-based
Charlottenburg-Wilmersdorf,Halensee,#high_playground_density,playgrounds.ipynb:rule-based
Spandau,Spandau,#high_playground_density,playgrounds.ipynb:rule-based
Spandau,Haselhorst,#average_playground_density,playgrounds.ipynb:rule-based
Spandau,Siemensstadt,#low_playground_density,playgrounds.ipynb:rule-based
Spandau,Staaken,#low_playground_density,playgrounds.ipynb:rule-based
Spandau,Gatow,#low_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Baumschulenweg,#average_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Johannisthal,#high_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Niederschöneweide,#high_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Altglienicke,#high_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Adlershof,#average_playground_density,playgrounds.ipynb:rule-based
Spandau,Kladow,#low_playground_density,playgrounds.ipynb:rule-based
Spandau,Hakenfelde,#low_playground_density,playgrounds.ipynb:rule-based
Spandau,Falkenhagener Feld,#high_playground_density,playgrounds.ipynb:rule-based
Spandau,Wilhelmstadt,#average_playground_density,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Steglitz,#high_playground_density,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Lichterfelde,#average_playground_density,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Lankwitz,#high_playground_density,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Zehlendorf,#average_playground_density,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Dahlem,#low_playground_density,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Nikolassee,#low_playground_density,playgrounds.ipynb:rule-based
Steglitz-Zehlendorf,Wannsee,#low_playground_density,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Schöneberg,#high_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Rahnsdorf,#low_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Grünau,#low_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Müggelheim,#low_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Schmöckwitz,#low_playground_density,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Marzahn,#high_playground_density,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Biesdorf,#low_playground_density,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Kaulsdorf,#low_playground_density,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Mahlsdorf,#low_playground_density,playgrounds.ipynb:rule-based
Marzahn-Hellersdorf,Hellersdorf,#high_playground_density,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Friedenau,#high_playground_density,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Tempelhof,#average_playground_density,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Mariendorf,#average_playground_density,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Marienfelde,#low_playground_density,playgrounds.ipynb:rule-based
Tempelhof-Schöneberg,Lichtenrade,#average_playground_density,playgrounds.ipynb:rule-based
Neukölln,Neukölln,#high_playground_density,playgrounds.ipynb:rule-based
Neukölln,Britz,#high_playground_density,playgrounds.ipynb:rule-based
Neukölln,Buckow,#average_playground_density,playgrounds.ipynb:rule-based
Neukölln,Rudow,#average_playground_density,playgrounds.ipynb:rule-based
Neukölln,Gropiusstadt,#high_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Friedrichsfelde,#high_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Karlshorst,#high_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Lichtenberg,#high_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Alt-Treptow,#high_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Plänterwald,#average_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Bohnsdorf,#low_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Oberschöneweide,#average_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Köpenick,#low_playground_density,playgrounds.ipynb:rule-based
Treptow-Köpenick,Friedrichshagen,#low_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Falkenberg,#low_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Malchow,#high_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Wartenberg,#low_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Neu-Hohenschönhausen,#high_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Alt-Hohenschönhausen,#average_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Fennpfuhl,#high_playground_density,playgrounds.ipynb:rule-based
Lichtenberg,Rummelsburg,#high_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Reinickendorf,#high_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Tegel,#low_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Konradshöhe,#low_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Heiligensee,#low_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Frohnau,#low_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Hermsdorf,#low_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Waidmannslust,#high_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Lübars,#low_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Wittenau,#low_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Märkisches Viertel,#high_playground_density,playgrounds.ipynb:rule-based
Reinickendorf,Borsigwalde,#average_playground_density,playgrounds.ipynb:rule-based
