district,neighborhood,hashtags,source
Mitte,Mitte,#venues;#vibrant,venues.ipynb:rule-based
Mitte,Moabit,#venues;#vibrant,venues.ipynb:rule-based
Mitte,Hansaviertel,#venues;#vibrant,venues.ipynb:rule-based
Mitte,Tiergarten,#venues;#vibrant,venues.ipynb:rule-based
Mitte,Wedding,#venues;#vibrant,venues.ipynb:rule-based
Mitte,Gesundbrunnen,#venues;#vibrant,venues.ipynb:rule-based
Friedrichshain-Kreuzberg,Friedrichshain,#venues;#vibrant,venues.ipynb:rule-based
Friedrichshain-Kreuzberg,Kreuzberg,#venues;#vibrant,venues.ipynb:rule-based
Pankow,Prenzlauer Berg,#venues;#vibrant,venues.ipynb:rule-based
Pankow,Weißensee,#venues;#vibrant,venues.ipynb:rule-based
Pankow,Blankenburg,#venues;#sparse,venues.ipynb:rule-based
Pankow,Heinersdorf,#venues;#sparse,venues.ipynb:rule-based
Pankow,Karow,#venues;#sparse,venues.ipynb:rule-based
Pankow,Stadtrandsiedlung Malchow,#venues;#sparse,venues.ipynb:rule-based
Pankow,Pankow,#venues;#vibrant,venues.ipynb:rule-based
Pankow,Blankenfelde,#venues;#sparse,venues.ipynb:rule-based
Pankow,Buch,#venues;#sparse,venues.ipynb:rule-based
Pankow,Französisch Buchholz,#venues;#sparse,venues.ipynb:rule-based
Pankow,Niederschönhausen,#venues;#average,venues.ipynb:rule-based
Pankow,Rosenthal,#venues;#sparse,venues.ipynb:rule-based
Pankow,Wilhelmsruh,#venues;#average,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg,#venues;#vibrant,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,Wilmersdorf,#venues;#vibrant,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,Schmargendorf,#venues;#vibrant,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,Grunewald,#venues;#sparse,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,Westend,#venues;#vibrant,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,#venues;#sparse,venues.ipynb:rule-based
Charlottenburg-Wilmersdorf,Halensee,#venues;#vibrant,venues.ipynb:rule-based
Spandau,Spandau,#venues;#vibrant,venues.ipynb:rule-based
Spandau,Haselhorst,#venues;#sparse,venues.ipynb:rule-based
Spandau,Siemensstadt,#venues;#average,venues.ipynb:rule-based
Spandau,Staaken,#venues;#average,venues.ipynb:rule-based
Spandau,Gatow,#venues;#sparse,venues.ipynb:rule-based
Treptow-Köpenick,Baumschulenweg,#venues;#average,venues.ipynb:rule-based
Treptow-Köpenick,Johannisthal,#venues;#average,venues.ipynb:rule-based
Treptow-Köpenick,Niederschöneweide,#venues;#average,venues.ipynb:rule-based
Treptow-Köpenick,Altglienicke,#venues;#average,venues.ipynb:rule-based
Treptow-Köpenick,Adlershof,#venues;#vibrant,venues.ipynb:rule-based
Spandau,Kladow,#venues;#sparse,venues.ipynb:rule-based
Spandau,Hakenfelde,#venues;#sparse,venues.ipynb:rule-based
Spandau,Falkenhagener Feld,#venues;#sparse,venues.ipynb:rule-based
Spandau,Wilhelmstadt,#venues;#average,venues.ipynb:rule-based
Steglitz-Zehlendorf,Steglitz,#venues;#vibrant,venues.ipynb:rule-based
Steglitz-Zehlendorf,Lichterfelde,#venues;#vibrant,venues.ipynb:rule-based
Steglitz-Zehlendorf,Lankwitz,#venues;#average,venues.ipynb:rule-based
Steglitz-Zehlendorf,Zehlendorf,#venues;#vibrant,venues.ipynb:rule-based
Steglitz-Zehlendorf,Dahlem,#venues;#average,venues.ipynb:rule-based
Steglitz-Zehlendorf,Nikolassee,#venues;#average,venues.ipynb:rule-based
Steglitz-Zehlendorf,Wannsee,#venues;#average,venues.ipynb:rule-based
Tempelhof-Schöneberg,Schöneberg,#venues;#vibrant,venues.ipynb:rule-based
Treptow-Köpenick,Rahnsdorf,#venues;#sparse,venues.ipynb:rule-based
Treptow-Köpenick,Grünau,#venues;#sparse,venues.ipynb:rule-based
Treptow-Köpenick,Müggelheim,#venues;#sparse,venues.ipynb:rule-based
Treptow-Köpenick,Schmöckwitz,#venues;#sparse,venues.ipynb:rule-based
Marzahn-Hellersdorf,Marzahn,#venues;#average,venues.ipynb:rule-based
Marzahn-Hellersdorf,Biesdorf,#venues;#average,venues.ipynb:rule-based
Marzahn-Hellersdorf,Kaulsdorf,#venues;#sparse,venues.ipynb:rule-based
Marzahn-Hellersdorf,Mahlsdorf,#venues;#average,venues.ipynb:rule-based
Marzahn-Hellersdorf,Hellersdorf,#venues;#average,venues.ipynb:rule-based
Tempelhof-Schöneberg,Friedenau,#venues;#vibrant,venues.ipynb:rule-based
Tempelhof-Schöneberg,Tempelhof,#venues;#vibrant,venues.ipynb:rule-based
Tempelhof-Schöneberg,Mariendorf,#venues;#vibrant,venues.ipynb:rule-based
Tempelhof-Schöneberg,Marienfelde,#venues;#average,venues.ipynb:rule-based
Tempelhof-Schöneberg,Lichtenrade,#venues;#average,venues.ipynb:rule-based
Neukölln,Neukölln,#venues;#vibrant,venues.ipynb:rule-based
Neukölln,Britz,#venues;#average,venues.ipynb:rule-based
Neukölln,Buckow,#venues;#vibrant,venues.ipynb:rule-based
Neukölln,Rudow,#venues;#average,venues.ipynb:rule-based
Neukölln,Gropiusstadt,#venues;#average,venues.ipynb:rule-based
Lichtenberg,Friedrichsfelde,#venues;#sparse,venues.ipynb:rule-based
Lichtenberg,Karlshorst,#venues;#average,venues.ipynb:rule-based
Lichtenberg,Lichtenberg,#venues;#average,venues.ipynb:rule-based
Treptow-Köpenick,Alt-Treptow,#venues;#vibrant,venues.ipynb:rule-based
Treptow-Köpenick,Plänterwald,#venues;#sparse,venues.ipynb:rule-based
Treptow-Köpenick,Bohnsdorf,#venues;#sparse,venues.ipynb:rule-based
Treptow-Köpenick,Oberschöneweide,#venues;#average,venues.ipynb:rule-based
Treptow-Köpenick,Köpenick,#venues;#average,venues.ipynb:rule-based
Treptow-Köpenick,Friedrichshagen,#venues;#average,venues.ipynb:rule-based
Lichtenberg,Falkenberg,#venues;#sparse,venues.ipynb:rule-based
Lichtenberg,Malchow,#venues;#sparse,venues.ipynb:rule-based
Lichtenberg,Wartenberg,#venues;#sparse,venues.ipynb:rule-based
Lichtenberg,Neu-Hohenschönhausen,#venues;#sparse,venues.ipynb:rule-based
Lichtenberg,Alt-Hohenschönhausen,#venues;#average,venues.ipynb:rule-based
Lichtenberg,Fennpfuhl,#venues;#vibrant,venues.ipynb:rule-based
Lichtenberg,Rummelsburg,#venues;#vibrant,venues.ipynb:rule-based
Reinickendorf,Reinickendorf,#venues;#vibrant,venues.ipynb:rule-based
Reinickendorf,Tegel,#venues;#vibrant,venues.ipynb:rule-based
Reinickendorf,Konradshöhe,#venues;#sparse,venues.ipynb:rule-based
Reinickendorf,Heiligensee,#venues;#sparse,venues.ipynb:rule-based
Reinickendorf,Frohnau,#venues;#sparse,venues.ipynb:rule-based
Reinickendorf,Hermsdorf,#venues;#average,venues.ipynb:rule-based
Reinickendorf,Waidmannslust,#venues;#average,venues.ipynb:rule-based
Reinickendorf,Lübars,#venues;#sparse,venues.ipynb:rule-based
Reinickendorf,Wittenau,#venues;#average,venues.ipynb:rule-based
Reinickendorf,Märkisches Viertel,#venues;#sparse,venues.ipynb:rule-based
Reinickendorf,Borsigwalde,#venues;#average,venues.ipynb:rule-based
