district_id,district,neighborhood_id,neighborhood,centroid_lon,centroid_lat,area_km2,mobility_label,green_share,green_share_label,n_playgrounds,playgrounds_per_km2,playgrounds_density_label,n_venues,venues_per_km2,n_cuisine_types,V_score,C_score,VV_index,vibrancy_label
11004004,Charlottenburg-Wilmersdorf,401,Charlottenburg,13.307289,52.514199,10.59154980422087,well-connected,0.0781680410613811,average,45,4.248670008808996,above average,782,73.83244326419188,88,100.0,100.0,100.0,vibrant
11004004,Charlottenburg-Wilmersdorf,406,Charlottenburg-Nord,13.297525,52.540535,6.196479722382672,moderate,0.2147298078284308,above average,5,0.806909765546267,below average,9,1.4524375779832808,10,2.303332747645594,15.384615384142014,6.8817816704193415,sparse
11004004,Charlottenburg-Wilmersdorf,404,Grunewald,13.23551,52.485371,22.34392373002072,remote,0.0051501249910457,below average,5,0.223774483855856,below average,18,0.8055881418810817,5,0.2674646759338293,0.0,0.173852039356989,sparse
11004004,Charlottenburg-Wilmersdorf,407,Halensee,13.293267,52.497051,1.266254843906059,moderate,0.0107348059242713,below average,3,2.369191331774731,above average,44,34.74813953269605,20,100.0,46.15384615242604,81.15384615334912,vibrant
11004004,Charlottenburg-Wilmersdorf,403,Schmargendorf,13.291942,52.478735,3.5863656229338945,moderate,0.0250158543307154,average,11,3.0671719385379457,above average,33,9.201515815613837,12,26.69247199502985,21.53846153779882,24.888568334998997,vibrant
11004004,Charlottenburg-Wilmersdorf,405,Westend,13.252633,52.512871,13.520978820991976,moderate,0.0483036552787147,average,16,1.183346280755889,below average,73,5.399017405948744,31,14.724640421085612,79.99999999753847,37.57101627284411,vibrant
11004004,Charlottenburg-Wilmersdorf,402,Wilmersdorf,13.318391,52.485755,7.157516942666386,well-connected,0.0395228544013221,average,41,5.728243513556573,above average,261,36.46515992776258,45,100.0,100.0,100.0,vibrant
11002002,Friedrichshain-Kreuzberg,201,Friedrichshain,13.452429,52.511215,9.944489731513633,well-connected,0.0817455718641752,average,84,8.446888907110823,above average,531,53.396404877093424,74,100.0,100.0,100.0,vibrant
11002002,Friedrichshain-Kreuzberg,202,Kreuzberg,13.405208,52.496854,10.37203888299921,well-connected,0.0934661459463865,above average,82,7.905870863481437,above average,748,72.11696836444042,99,100.0,100.0,100.0,vibrant
11011011,Lichtenberg,1110,Alt-Hohenschönhausen,13.501334,52.546083,9.347575274171229,moderate,0.0260471825964072,average,16,1.7116738331287291,average,32,3.4233476662574587,8,8.506496416011315,9.230769230485208,8.759991901077177,average
